Vehicle Name,VIN,CampaignID,ManufacturerCampaign,Make,Model,Year
81 JOHNSTON PURCHASING 2025 CHRYSLER VOYAGER,2C4RC1CG5SR524847,25V573000,82C,CHRYSLER,VOYAGER,2025
81 JOHNSTON PURCHASING 2025 CHRYSLER VOYAGER,2C4RC1CG5SR524847,25V876000,EQUIPMENT ADAPTIVE/MOBILITY (ROLLX RECALL),CHRYSLER,VOYAGER,2025
83 AMES / MASON CITY DS 2023 NISSAN ROGUE,JN8BT3BB7PW350205,23V268000,IS,NISSAN,ROGUE,2023
83 AMES / MASON CITY DS 2023 NISSAN ROGUE,JN8BT3BB7PW350205,23V374000,IS,NISSAN,ROGUE,2023
83 AMES / MASON CITY DS 2023 NISSAN ROGUE,JN8BT3BB7PW350205,24V154000,PD103,NISSAN,ROGUE,2023
83 AMES / MASON CITY DS 2023 NISSAN ROGUE,JN8BT3BB7PW350205,24V156000,PD105,NISSAN,ROGUE,2023
83 AMES / MASON CITY DS 2023 NISSAN ROGUE,JN8BT3BB7PW350205,25V437000,R25A8,NISSAN,ROGUE,2023
83 AMES / MASON CITY DS 2023 NISSAN ROGUE,JN8BT3BB7PW350205,26V080000,R25E2,NISSAN,ROGUE,2023
85 CEDAR FALLS DS 2023 CHRYSLER VOYAGER,2C4RC1CG3RR105843,24V238000,25B,CHRYSLER,VOYAGER,2024
85 CEDAR FALLS DS 2023 CHRYSLER VOYAGER,2C4RC1CG3RR105843,24V888000,SEATS RECALL,CHRYSLER,VOYAGER,2024
85 CEDAR FALLS DS 2023 CHRYSLER VOYAGER,2C4RC1CG3RR105843,25V302000,06C,CHRYSLER,VOYAGER,2024
85 CEDAR FALLS DS 2023 CHRYSLER VOYAGER,2C4RC1CG3RR105843,25V876000,EQUIPMENT ADAPTIVE/MOBILITY (ROLLX RECALL),CHRYSLER,VOYAGER,2024
87 CEDAR FALLS DS 2023 CHRYSLER VOYAGER,2C4RC1CG4PR611548,24V199000,14B,CHRYSLER,VOYAGER,2023
87 CEDAR FALLS DS 2023 CHRYSLER VOYAGER,2C4RC1CG4PR611548,24V793000,A8B,CHRYSLER,VOYAGER,2023
87 CEDAR FALLS DS 2023 CHRYSLER VOYAGER,2C4RC1CG4PR611548,25V388000,34C,CHRYSLER,VOYAGER,2023
87 CEDAR FALLS DS 2023 CHRYSLER VOYAGER,2C4RC1CG4PR611548,25V302000,06C,CHRYSLER,VOYAGER,2023
87 CEDAR FALLS DS 2023 CHRYSLER VOYAGER,2C4RC1CG4PR611548,25V876000,EQUIPMENT ADAPTIVE/MOBILITY (ROLLX RECALL),CHRYSLER,VOYAGER,2023
88 CEDAR FALLS DS 2025 NISSAN ROGUE,5N1BT3BA7SC779448,24V748000,R24B3,NISSAN,ROGUE,2025
88 CEDAR FALLS DS 2025 NISSAN ROGUE,5N1BT3BA7SC779448,26V080000,R25E2,NISSAN,ROGUE,2025
88 CEDAR FALLS DS 2025 NISSAN ROGUE,5N1BT3BA7SC779448,26V081000,R25E2,NISSAN,ROGUE,2025
93 SIOUX CITY DS 2022 CHYRSLER VOYAGER,2C4RC1CG8NR172514,22V619000,Z80,CHRYSLER,VOYAGER,2022
93 SIOUX CITY DS 2022 CHYRSLER VOYAGER,2C4RC1CG8NR172514,24V436000,66B,CHRYSLER,VOYAGER,2022
93 SIOUX CITY DS 2022 CHYRSLER VOYAGER,2C4RC1CG8NR172514,25V302000,06C,CHRYSLER,VOYAGER,2022
93 SIOUX CITY DS 2022 CHYRSLER VOYAGER,2C4RC1CG8NR172514,25V876000,EQUIPMENT ADAPTIVE/MOBILITY (ROLLX RECALL),CHRYSLER,VOYAGER,2022
93 SIOUX CITY DS 2022 CHYRSLER VOYAGER,2C4RC1CG8NR172514,26V189000,06D,CHRYSLER,VOYAGER,2022
62 MITCHELL 2023 NISSAN ROGUE,5N1BT3ABXTC778192,23V268000,IS,NISSAN,ROGUE,2023
62 MITCHELL 2023 NISSAN ROGUE,5N1BT3ABXTC778192,23V374000,IS,NISSAN,ROGUE,2023
62 MITCHELL 2023 NISSAN ROGUE,5N1BT3ABXTC778192,24V154000,PD103,NISSAN,ROGUE,2023
62 MITCHELL 2023 NISSAN ROGUE,5N1BT3ABXTC778192,24V156000,PD105,NISSAN,ROGUE,2023
62 MITCHELL 2023 NISSAN ROGUE,5N1BT3ABXTC778192,25V437000,R25A8,NISSAN,ROGUE,2023
62 MITCHELL 2023 NISSAN ROGUE,5N1BT3ABXTC778192,26V080000,R25E2,NISSAN,ROGUE,2023
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,19V478000,SEAT BELTS (IC BUS EQUIP),IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,19V479000,SEAT BELTS (IC BUS EQUIP),IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,16V838000,16511,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,14V691000,14517,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,11V290000,NO,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,10V220000,10507,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,10V576000,10518,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,16V837000,16510,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,14V692000,14518,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,13V308000,13512,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,12V294000,12518,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,12V059000,12505,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,10V217000,10507,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,10V574000,10519,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,10V221000,10508,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,15V870000,EQUIPMENT ADAPTIVE/MOBILITY (IC BUS EQUIP),IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,11V368000,11513,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,11V428000,11518,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,10V257000,10509,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,10V104000,10505,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,15V868000,EQUIPMENT ADAPTIVE/MOBILITY (IC BUS EQUIP),IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,11V375000,11514,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,11V427000,11518,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,11V291000,11506,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,10V256000,10509,IC BUS,PC205,2011
BUS 1 JOHNSTON DS 2011 INTERNATIONAL,4KAANAAN9BA276625,10V103000,10505,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,19V478000,SEAT BELTS (IC BUS EQUIP),IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,19V479000,SEAT BELTS (IC BUS EQUIP),IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,16V838000,16511,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,14V691000,14517,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,11V290000,NO,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,10V220000,10507,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,10V576000,10518,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,16V837000,16510,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,14V692000,14518,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,13V308000,13512,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,12V294000,12518,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,12V059000,12505,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,10V217000,10507,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,10V574000,10519,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,10V221000,10508,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,15V870000,EQUIPMENT ADAPTIVE/MOBILITY (IC BUS EQUIP),IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,11V368000,11513,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,11V428000,11518,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,10V257000,10509,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,10V104000,10505,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,15V868000,EQUIPMENT ADAPTIVE/MOBILITY (IC BUS EQUIP),IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,11V375000,11514,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,11V427000,11518,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,11V291000,11506,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,10V256000,10509,IC BUS,PC205,2011
BUS 2 SIOUX CITY DS 2011 INTERNATIONAL,4KAANAAN7BA259273,10V103000,10505,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,19V478000,SEAT BELTS (IC BUS EQUIP),IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,19V479000,SEAT BELTS (IC BUS EQUIP),IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,16V838000,16511,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,14V691000,14517,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,11V290000,NO,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,10V220000,10507,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,10V576000,10518,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,16V837000,16510,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,14V692000,14518,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,13V308000,13512,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,12V294000,12518,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,12V059000,12505,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,10V217000,10507,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,10V574000,10519,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,10V221000,10508,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,15V870000,EQUIPMENT ADAPTIVE/MOBILITY (IC BUS EQUIP),IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,11V368000,11513,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,11V428000,11518,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,10V257000,10509,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,10V104000,10505,IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,15V868000,EQUIPMENT ADAPTIVE/MOBILITY (IC BUS EQUIP),IC BUS,PC205,2011
BUS B JOHNSTON DS 2011 INTERNATIONAL - MODEL 3000,4KAANAAN2BA254353,11V375000,11514,IC BUS,PC205,2011
